Name,Platform,Play Score,Game Score,Critic Score
Dust: An Elysian Tail,PC,8.58,9.43,7.74
Severed,PS Vita,8.79,9.43,8.16
Sound Shapes,PS3,8.89,9.43,8.36
Hyper Light Drifter,PS4,8.70,9.42,7.97
Style Savvy: Fashion Forward,3DS,8.32,9.42,7.21
Dark Souls Remastered,PS4,8.92,9.42,8.41
Animal Crossing: Pocket Camp,iOS,8.50,9.42,7.58
The Room,iOS,8.91,9.42,8.39
God of War III Remastered,PS4,8.74,9.42,8.05
Detroit: Become Human,PS4,8.68,9.42,7.94
N++,PC,8.62,9.42,7.83
Bloons TD 6,iOS,8.45,9.42,7.47
The House of Da Vinci 2,iOS,8.63,9.42,7.83
South Park: The Stick of Truth,Xbox 360,8.83,9.42,8.24
The Procession to Calvary,PC,8.64,9.42,7.86
Pokémon: Magikarp Jump,iOS,8.07,9.42,6.71
"Jungle Rumble: Freedom, Happiness and Bananas",iOS,8.44,9.42,7.47
Dragon Ball Xenoverse,PS3,8.13,9.42,6.85
Judgment,PS4,8.74,9.42,8.06
Corpse Party,3DS,8.53,9.42,7.64
Bravely Second: End Layer,3DS,8.75,9.42,8.08
The Jackbox Party Pack 6,PC,8.47,9.42,7.53
Hotline Miami 2: Wrong Number,PS3,8.70,9.41,7.98
Dragalia Lost,iOS,8.59,9.41,7.76
